Filename	Description 	Need1	Technology1	Need2	Technology2	Need3	Technology3	Need4	Technology4	Need5	Technology5	Need6	Technology6	Need7	Technology7	Public Input: Submission to WHS	Public Input: Survey Results	Public Input: Stakeholder Consultation Report	Public Input: External Conference Report	Public Input: Key document	WHS Output: Stakeholder Analysis Report	WHS Output: Co-Chairs Summary	WHS Output: Thematic report	WHS Output: Online consultation report	Stakeholder Group: Affected communities	Stakeholder Group: Civil society groups	Stakeholder Group: Local NGOs	Stakeholder Group: Member States	Stakeholder Group: UN Agency	Stakeholder Group: INGOs	Stakeholder Group: Regional bodies	Stakeholder Group: Academia	Stakeholder Group: Multiple stakeholders	WCA Documents	NSEA Documents	EOG Documents	MENA Documents	LAC Documents	Pacific Region	Global Documents	National Context: Bahrain	National Context: Barbados	National Context: Trinidad and Tobago	National Context: Congo	National Context: Japan	National Context: New Zealand	National Context: Samoa	National Context: Solomon Islands
WEB Humanitarianism in the Network Age vF single.pdf	"Pg. 15/120: Filipinos are part of a global trend: the emergence of a network age, where increased access to information and communications technologies has encouraged more decentralized decision- making and is helping to reshape social, political and economic activity.
Pg. 32/120: Widespread access to Global Positioning System information through mobile phones, coupled with the increased availability of satellite imagery, allows for unprecedented geographic precision to be added to raw data. This offers significant opportunities for crisis responders. Geographical Information Systems (GIS), which combine hardware and software used for the storage, retrieval, mapping and analysis of geographic data, have long been an essential component of effective crisis response.41 But today, technology once limited to experts and institutions is available to anyone. This has allowed groups of self-organizing volunteers to place SMS messages and social media postings on dynamic maps, highlighting clusters of cries for help in an earthquake, or identifying where roads have been washed away after a flood.
41 See http://egsc.usgs.gov/isb/pubs/gis_poster/ or http:// www.esri.com/what-is-gis/overview.html or http://www. nwgis.com/gisdefn.htm – which offer variants of the same definition.
Pg. 35/120: The questions now are how and when to leverage the comparative advantage of crowdsourced approaches? If automation can produce 64 per cent accuracy, then perhaps the best use of scarce resources would be to target those issues or areas that cannot be automated—in bringing the accuracy from 64 to 85 per cent rather than doing the entire process. Identifying the best uses of crowdsourcing and how to blend automated and crowdsourced approaches is a critical area for study.56
56 USAID. Crowdsourcing to Geocode Development Credit Authority Data: A Case Study. Available from http://transition.usaid.gov/our_work/economic_ growth_and_trade/development_credit/pdfs/2012/ USAIDCrowdsourcingCaseStudy.pdf.
Pg. 36/120: Mobile money, i.e. the use of cell phones as digital wallets, has advanced faster in developing countries than in the OECD. Three quarters of the countries that use mobile money most frequently are in Africa.62 Kenya has almost 20 million mobile-money users. They conducted 1.2 trillion Kenyan Shillings ($14.2 billion) of mobile transactions in 2011.63 Diaspora communities and remittances are helping to boost the importance of mobile money, particularly where their financial and banking systems have limited reach.64 For example, in Somalia, 34 per cent of adults use mobile money, often to receive remittances from family members overseas.65
 Mobile money has significant implications for humanitarian assistance. It offers a simple and secure method of transferring funds to people in need and a potentially rich source of information about how that money flows. In 2008, Concern Worldwide worked with Safaricom’s M-PESA system to transfer cash to people affected by post-electoral violence in remote areas of Kenya. Since then, mobile-money transfers have been used in diverse situations, from reaching famine-affected communities in Somalia to supporting housing reconstruction in Haiti.66 The Cash Learning Partnership, a group of five global NGOs and IFRC, supported by VISA and ECHO, has highlighted how electronic payment-and-registration systems can improve aid accountability by providing a clear data trail from funding to recipients.67
Mobile money and the data exhaust from modern banking technology have the potential for use in crisis prevention. UN Global Pulse has hypothesized that tracking aggregate trends in savings, defaults on microloans and other types of electronic payments could produce useful early warning indicators of income reductions.68
In many ways, mobile money highlights the opportunities and challenges of using network-age technologies. The potential is for faster, more accountable delivery of aid and the ability to better prevent crises. At the same time, the limited, albeit increasing, amount of quantitative evidence and the lack of baseline data make it difficult to identify how mobile money can deliver all that it promises. The Cash Learning Partnership is trying to address this knowledge deficit and offers a potentially powerful model for other efforts to learn from innovation.69
62 The Economist. Press 1 for modernity. Available from
http://www.economist.com/node/21553510 .
63 Telecompaper. Kenya mobile money transfers hit KES 1.2 trillion in 2011. Available from http://www. telecompaper.com/news/kenya-mobile-money- transfers-hit-kes-12-trillion-in-2011--858478.
64 UN Global Pulse. Big Data for Development. Available from http://www.unglobalpulse.org/sites/default/files/ BigDataforDevelopment-UNGlobalPulseJune2012.pdf.
65 The Economist. The bank of SMS. Available from http:// www.economist.com/blogs/graphicdetail/2012/04/ daily-chart-12.
66 ALNAP INNOVATIONS. “Cash Transfers through Mobile Phones: An Innovative Emergency Response in Kenya.” August 2009.
67 CALP. New Technologies in Cash Transfer Programming and Humanitarian Assistance. Available from http:// www.cashlearning.org/downloads/resources/calp/ CaLP_New_Technologies.pdf.
68 UN Global Pulse. Big Data for Development. Available from http://www.unglobalpulse.org/sites/default/files/ BigDataforDevelopment-UNGlobalPulseJune2012.pdf.
69 See http://www.cashlearning.org/.
Pg. 17/120: As the information on the next two pages shows, the adoption, use and choice of technology depend on many factors. They include affordability, availability, literacy, gender, age, status, physical abilities, cultural preferences, political environment, and the media/IT/telecoms network and infrastructure. But as costs fall and coverage increases, all indicators suggest that usage will continue to increase rapidly in rural areas and among poorer people."	Damage & Need Assessment	Data Analytics	Damage & Need Assessment	Crowdsourcing 	Online Cash	Mobile																																									
1 Redhum-LAC-Doc-Executive_Report-National_Consultation-Jamaica-WHS-201504-20150430-DS-16369.pdf	"Pg. 6/6: Red Cross whereby an ATM card is issued instead of food packages. • VHS Radios being used in Special Need communities can be expanded to all of Jamaica
Pg. 5/6: TRANSFORMATION THROUGH INNOVATION
 • Protection of state resources/national treasures during disasters.
 • Incorporate appropriate lessons in school curricula, for example, the use of tablets distributed to school children enabled with disaster related applications.
 • Whilst the exercise is supporting the humanitarian Summit we are mindful that some of the recommendations should be discussed further for implementation in the local environment and inclusion of an Implementation and Communication Plan.
 • Creation of more applications like the Red Cross application to support access on mobile phones
 • Recommendation for a central database to store various assets within the various communities that is accessible by the decision makers.
 • Cultural sensitivity with regard to publishing.
 • Development of policies/standards/guidelines to govern the use of social media.
 • Review Disaster Act to ensure provision for involvement of private sector to facilitate use of messaging/communication tools eg. Mobile phones.
 • Reference to special needs and vulnerable groups in review of Disaster Act.
 • Incorporate redundancies in business continuity"	Communication	Radio	Education/Awareness	Interactive Learning	Communication	Mobile														x																	x										
1 WHS Pacific Stakeholder analysis.pdf	"Pg. 18/43: and capacity assessments should be optimized.
 This should include mobile phone based soft- ware, as used recently by some organizations and clusters in Vanuatu, and other innovations.
 CSO consultations in Australia discussed the op- portunities for mobile technologies to enhance needs assessment and accountability, increas- ing effectiveness and further putting people at the centre of response."	Damage & Need Assessment	Mobile																		x																		x									
1 WHS Regional Consultation for West and Central Africa - Co-Chairs' Summary Report.pdf	"Pg. 4/4: • Humanitarian organizations to further investigate the use of innovative methods for gaining access to
 affected populations (examples: gaining feedback by SMS, use of non-military drones, cash transfers)."	Communication	Mobile	Online Cash	Mobile	Damage & Need Assessment	Imagery (UAV/Satellite)															x												x														
WHS NESA Regional Consultation Co-Chairs Summary.pdf	"Pg. 3/4: • Innovation needs to focus on preparedness and DRR as well as
 immediate response.
 • End-to-end and disaster resilient communication systems should be strengthened to better document and share information. Innovation in this area of work is already splintered and needs better joining up; there is not necessarily a need for
 “new”, rather a need for “more coherent” approaches."	Damage & Need Assessment	Mobile																			x													x													
2 ESA Regional Consultation - Final Report.pdf	"Pg. 77/91: Information, Communication and Technology: A large number of stakeholders, 38 per cent of respondents to the regional stakeholder survey and 43 per cent of respondents to the private sector survey, agreed that there should be greater and wider use of information and communication technologies, such as mobile phones, internet, and social media in disseminating or improving humanitarian action, especially in communicating with communities. Data and information management were seen as key contributors to effective humanitarian action, for example by collecting and sharing needs assessments and conducting local capacity mappings. Stakeholders noted how in Madagascar a community-level text message system supported by national telecom operators provided both early warning and post-disaster rapid data collection within 48 hours. Better information co ection was demanded, for examp e, on civi society organizations ro es and capacities, with a suggestion from Eastern Africa to compi e a Ye ow Pages of NGOs"".
Pg. 78/91: Use of traditiona communication p atforms:
 A though stakeho ders from within the humanitarian community recognized the potentia va ue of using new techno ogies to communicate, the arge majority, of participants to the community consu tations for
 Southern Africa identified more traditiona methods as better forms of communicating with disaster- and conifict-affected communities. These inc uded face- to-face communication, radio and te evision programmes in oca anguages, and the dissemination of information at community centres, such as city ha s and p aces of worship.
 Stakeho ders in Zimbabwe mentioned vi age criers"" as a method used in Eastern and Southern
 Africa to communicate and share information in remote communities. As another traditiona information sharing system, Ethiopian stakeho ders mentioned the verba communication tradition referred to as Dagu, used by the Afar peop e.
 Stakeho ders suggested that traditiona communication systems shou d not be seen as a hindrance but an inspiration for improving know edge exchange. They further suggested that new communication techno ogies cou d be deve oped hand-in-hand with ora traditions.
Pg. 90/91: The discussion pro- posed innovative ways to increase accountability and data analysis mechanisms; ranging from peer reviews and academic third party observers to meaningful live-systems that reap quality data on “failed” and successful projects. This
Pg. 77/91: Innovative approaches to pastoralism: Stakeholders in Eastern Africa called for innovative ways in which to best serve the needs of nomadic and pastoralist communities. They noted how the more sedentary forms of supporting humanitarian preparedness and providing relief did not fit societies on the move"", particularly those moving cross-border, and emphasized how pastoralists in the region changed locations out of survival. Mobile health clinics and mobile schools were given as examples of existing approaches that could be scaled up.
Pg. 31/91: Adoption of new technologies: A new cross-cutting theme that emerged from discussions was the adoption of new technologies to a variety of contexts. Although the adoption of technology was most relevant within the innovation theme, it was also mentioned in each of the other three thematic areas. Participants recognized the potential of technology as a tool to converse with affected communities. They also recognized the possibilities of information and communications technologies in risk analysis and needs assessment, as well as cash transfers, particularly in conflict situations."	Communication	Mobile	Communication	Social Media	Communication	Radio																																									
EOG Regional Consultation Meeting - Briefing Pack.pdf	"Pg. 26-27/92: Stakeholders recognized the positive role technology can play in humanitarian response. One NGO report highlighted particular information communication technologies (“ICTs”), such as mobile con- nectivity, data analytics and field support tools that may increase the effectiveness and efficiency of humanitarian responses. Participants in the youth surveys highlighted the role of social media and other networking technologies in raising awareness and delivering assistance. Other examples of use- ful technologies include unmanned aerial vehicles (“UAvs”), which can be used to monitor the need for specific goods or services. Non-ICTs, such as solar power and advance water filter tools, may also benefit vulnerable populations during and after crises."	Communication	Mobile	Damage & Need Assessment	Data Analytics	Communication	Social Media	Supply	UAV	Alternative Energy	Solar Power																									x												
WHS Regional Consultation NSEA Final Report - FULL (13 MB).pdf	"Pg. 9/96: Innovations in the area of information and communication were
 seen having the biggest potential to improve disaster response.
Pg. 11/96: She also highlighted the role that media could play during times of disaster. In the Philippines, social media had been used to mobilize awareness and raise money for affected communities. She concluded by calling for more work to ensure that preparedness would become a way of life."	Communication	Mobile	Education/Awareness	Social Media																														x													
WHS Regional Consultation West and Central Africa - Final Report.pdf	"Pg. 28/60: Where access is limited due to hostilities, refusal by one of the parties or purely logistical constraints, humanitarian should investigate and use innovative methods of gaining access or of compensating for limited access (such as gaining feedback by SMS or use of non-military drones)."	Communication	Mobile																															x														
17 Redhum-LAC-Doc-Informe_Ejecutivo-Consulta_Nacional-Honduras-WHS-201504-20150430-DS-16365.pdf	"Pg. 2/11: Socializar y masificar las innovaciones tecnológicas existentes y las ya utilizadas (ODK,RMS,
 MEGA V).
Pg. 6/11: • Existe la tecnología móvil a nivel nacional con la que se puede utilizar para compartir alertas e informar sobre incidentes."	Communication	Mobile																				x															x										
OFADEC_EN_Report of the NNGO Consultation_FINAL.doc	"Pg. 2/4: Transformation through innovation
 We have seen that in Niger, for example, the use of phones to transfer cash to people, instead of traditional food distributions, has proven quite suitable and appreciated by people. At the same time it cannot forgotten that we have our own realities that can make this difficult: power outages or lack of electricity, illiteracy, lack of access to new technologies, poor telephone coverage, etc."	Online Cash	Mobile																				x											x														
Participants Guide.pdf	"Pg. 7/34: The need for innovation was also discussed. Participants highlighted several examples of innovative solutions already in place: the Strategic Response Plan for the Sahel (2014-2016) as an example of multiyear initiatives; the programme ‘Cities and climate change’; ECOWAS humanitarian policy and ECOWARN; cash transfers; use of social media and mobile phones in communicating with communities; distribution of locally-produced enriched flour; and cooperation with private sector organizations (such as in response to the 2012 floods in Nigeria).
Pg. 7/34: They also encouraged organizations to support and strengthen mechanisms for knowledge transfer and to share lessons learned across emergencies. Participants discussed various aspects of innovation, pointing out that it is not just about technology but about social changes and leveraging knowledge of the local culture and landscape on order to avoid ‘importing’ ideas which may not fit the real local needs. They referenced the example of using radio communication in displaced people’s native languages to increase understanding of the services available across borders (Niger and Nigeria one example, Ghana and Côte d’Ivoire another)."	Communication	Mobile	Communication	Social Media	Online Cash	Mobile																x											x														
Preparatory Civil Society Organization Consultation.pdf	"Pg. 5/8: TRANSFORMATION THROUGH INNOVATION
 Innovative approaches in humanitarian action, especially on communication/IT technology, were shared from many participants. For example:
 • Smartphone were used for rapid assessment in Haiti by WV
 with UN agencies.
 • SNS called Kakaotalk was used by Korean network NGOs to share important guideline/standard and cluster information to member NGOs during typhoon Haiyan response in the
 Philippines. These NGOs also provided feedback to the company that operated Kakaotalk for further usability on this application.
 • One Foundation from China shared that virtual network connected to internet with maps where affected communities and CSOs can post need assessment data provides usual information for response planning. The system also works where SMS network is down, as long as internet connectivity is ensured.
 In addition to technology-based innovation, some participants mentioned that paradigm innovation was also important in the sector. For example, HFI from Indonesia is an inter-faith network and it facilitates multi-faith approach in emergency response.
 Their significant outreach and relationship with various affected communities allow them to see affected people as partners playing central role in the response. Additionally, it was noted again that local wisdom helps local communities to play essential role on recovering process.
 Although many good practices were shared, it was also noted that these innovative approaches usually emerge as ad hoc measures, and there is no systemic efforts to support the development or dissemination of these approaches. Therefore, the aspiration on this theme came out as mindset change within humanitarian community for full usage of existing tools / technology."	Damage & Need Assessment	Data Analytics																				x			X									x													
The power of business in the Ebola response [Event report].pdf	"Pg. 8/13: Mobile systems have a lot of potential for aiding the response:
 • Educational based messaging services
 • Financing solutions
 • Data tracking
 • Contact tracing
 • Triangulating positions of infections
 • Real time data surveillance and reporting
Pg. 8/13: GSMA had worked with WHO to organized a credible and locally relevant content messaging system and had coordinated with mobile operators across the region. A priority had been to counter misinformation, which had previously caused a lot of harm during the outbreak.
 One of the major barriers they had encountered was the large number of requests coming from multiple sources.
 Craig highlighted the need for a more coordinated contact and request system. The larger agencies needed to take a greater leadership role in finding the needs on the ground, securing endorsement from local communities and governments, and translating that into something that the private sector can respond to in a timely and measured fashion.
Pg. 8/13: While mobile solutions can be activated very quickly, they had been experiencing large delays in securing agreements, commitments, and endorsements from governments to actually deploy those services. It was needed to overcome such barriers as mobile communication could play a very big role in the response, and in particular in preventing the spread of the outbreak to other countries."	Communication	Mobile	Education/Awareness	Mobile	Online Cash	Mobile																x																									
WHS Theme 3 - Transformation through Innovation (regional - SE&NAsia).pdf	"Pg. 2/2: 5. Next steps
 As a starting point towards the development of a system-wide strategy the regional consultations should identify concrete areas where innovation may be able to assist in addressing constraints or gaps in humanitarian action, and where new and innovative approaches may support transformation in coordination or management of humanitarian access, preparedness and response. Such areas may include:
 • harnessing technology for better two-way (rather than broadcast) communications with people affected by disaster or crises;
 • mobile money and cash-transfer programming, combined with a revolutionized perspective on the role the private sector plays in disaster response and recovery,
 • using social media analytics and unmanned aerial vehicles for needs assessment work,
 • community-led risk mapping;
 • greater use of opportunities for crisis-insurance;
 • advanced water filters;
 • local production with 3-D printers;"	Communication	Mobile	Online Cash	Mobile	Damage & Need Assessment	Social Media	Damage & Need Assessment	Imagery (UAV/Satellite)	Water	Purifiers/Filters	Supply	3D Printers										x												x													
1 WHS MENA Online Consultation Final Report.pdf	"Pg. 2/6: In terms of solutions to enable humanitarian workers to negotiate safe access to deliver aid to affected communities, and for those in conflict zones to safely receive assistance, some contributors suggested the use of drones for assessing needs and/or delivering humanitarian aid, while others highlighted the common practice of remote management from safer zones.
Pg. 4/6: Significance of advancements in innovations: Innovation and advancements in technology as a means to alleviate the stresses of humanitarian assistance was emphasized. Among other things, innovations strengthen risk management capacities, support the establishment of Information Management frameworks and the integration of Disaster Preparedness and offer new modalities of assistance. Non-traditional partners should be better integrated in assistance frameworks to capitalize on their respective areas of experience."	Supply	UAV	Build Resilience	Risk Management																			x																								
"Online Consultation Summary Report Preliminary Global Discussions, May-July 2014.pdf"	"Pg. 3/3: A summary of additional recommendations suggested by the discussion participants include:
  2. Increase opportunities for digital (‘virtual’) volunteers, especially in disaster assessments and communications."	Damage & Need Assessment	Crowdsourcing																					x																								
WHS Online Consultation Final Report - Europe and Others Group.pdf	"Pg. 25/30: Ankush Vengurleka, via Twitter, recommended better use of mobile and open platform technologies – both by humanitarian actors and affected communities – to allow better information sharing and enable early warning systems and coordination, even in remote areas."	Communication	Mobile																					x																								
WHS Online Consultation Final Report - North and South-East Asia Discussions.pdf	"Pg. 1/3: 4. Further explore use of technologies such as
 Unmanned Aerial Vehicles (UAVs or ’drones’) for use in humanitarian contexts.
Pg. 3/3: Theme 3: Transformation through Innovation
 A vibrant discussion over the use of Unmanned Aerial Vehicles (UAVs or ’drones’) took place. It was noted that there is existing research being conducted by UN OCHA on this issue as well as a Humanitarian UAV network that are developing Code of Conduct for the humanitarian use of UAVs.
 A suggestion was proposed for a regional innovation incubator, which could be housed within ASEAN. Additional recommendations included use of Google Glass or other technologies to amplify and facilitate data collection during humanitarian response."	Damage & Need Assessment	Imagery (UAV/Satellite)																					x											x													
WHS Online Consultation for N & SE Asia - Weeks 1 & 2 Summary.pdf	"Pg. 2/4: Q. 3. Innovation is the new buzz-word. But what does it mean in the context of humanitarian action?
 Where can innovations help improve humanitarian action?
 The discussion on innovation started with Amjad from the UK asking whether drones should be utilized in humanitarian contexts. This question attracted some initial interesting comments in the first and second week.
 Sharon, as a discussion moderator, answered with a possible
 ‘future’ blue print of using drones in humanitarian contexts with careful considerations concerning matters such as regulations, privacy, ethics and technical capacities, etc. Patrick from Social Innovation, Switzerland, introduced the existence
 “UAVs are *already* being used in humanitarian settings. The World Food
 Program (WFP), for example, has had
 UAVs since 2007. Meanwhile, UNICEF,
 OCHA and others are also exploring the use of UAVs in a hands-on manner.”
 - Patrick, Social Innovation, Switzerland
 of the Humanitarian UAV Network (UAViators), which has a Code of Conduct for using Unmanned Aerial
 Vehicles (UAVs) in humanitarian settings, and explained that UAVs are actually deployed to prepare for typhoons in a local area in the Philippines ‘now’, using a local empowerment, skills transfer and grassroots approach. Some valuable research papers and articles were posted by Sharon and Patrick. It is noteworthy that drones are developing in practice under hot debate and the days of drones in humanitarian settings seem to be coming, along with innovative ideas from humans. Meanwhile, Daniel from the USA pointed out that UNOCHA is working on a policy paper on the opportunities and challenges of UAVs in humanitarian response. He suggests more research is needed on the integration of aerial observation and data collection into needs and damage assessments, search and rescue and other humanitarian functions."	Damage & Need Assessment	Imagery (UAV/Satellite)																					x											x													
WHS Online Consultation Report- North and South-East Asia Discussions-26 June 2014.docx	"Pg. 1/4: 4. Further explore use of technologies such as Unmanned Aerial Vehicles (UAVs or ’drones’) for use in humanitarian contexts.
Pg. 3/4: Theme 3: Transformation through Innovation
 A vibrant discussion over the use of Unmanned Aerial Vehicles (UAVs or ’drones’) took place. It was noted that there is existing research being conducted by UN OCHA on this issue as well as a Humanitarian UAV network that are developing Code of Conduct for the humanitarian use of UAVs.
Pg. 3/4: Additional recommendations included use of Google Glass or other technologies to amplify and facilitate data collection during humanitarian response."	Damage & Need Assessment	Imagery (UAV/Satellite)																					x											x													
WHS Preliminary Online Global Consultation - Week 1 Summary.pdf	Pg. 3/4: Milagros from the USA asked for humanitarian actors to embrace innovative technology in order to better identify trends in conflict situations from people’s usage of SMS and web services.	Damage & Need Assessment	Data Analytics																					x																								
WHS Preliminary Online Global Consultation - Week 3 Summary.pdf	"Pg. 2/4: Another new contributor, Urvashi from India, suggested that digital volunteers could play a greater role in needs assessments."	Damage & Need Assessment	Crowdsourcing																					x																								
Findings from Focus Group Discussions with Affected Populations in Egypt - Clean version.pdf	"Pg. 9/12: 12) Innovative Approaches
  • Among the issues raised is the need to use new technologies in providing aid to refugees. Some solutions, such as the use of mobiles and text messaging for the registration process and disseminating important information to refugees can strengthen refugee protection and improve access to aid."	Communication	Mobile																						x																							
Summary of results from all surveys - Phase II Report.docx	"Pg. 49/64: Q6: What, if any, innovation solutions to improve disaster response have been piloted by your
 university/research centre?
 Summary of answers:
 One respondent said their institution had involved interfaith communities and vulnerable communities, including religious minorities, in their disaster activities. Several actors had worked with communities on capacity building, contingency planning and participatory real-time monitoring. The use of mobile knowledge resource centers for DRR education was also mentioned.
Pg. 50/64: The collection of responses as examples of innovation in the field of disaster response mention a broad spectrum of innovation, not limited to technological advances. The National Red Cross
 Society and national host committee for disaster management talked about the creation of
 Disaster Management Laws; creating provisions for financial, technical and consultative support.
 The Multinational Force Standing Operating Procedures introduced the common framework for military planning to support disaster response operations, highlighting needs assessment and specific capacities. A number of technologies occupying a large part of the discussion were designed for alternative purposes, for example: the use of low-cost drone technology,
 Geographic Information System (GIS), social media and Short Messaging Systems (SMS); all re- introduced and repurposed to help to provide alternative affordable solutions to DRR.
 Additionally, many DRR specific technologies were suggested, such as: debris management, remote-sensors, deployable tactical operation systems, etc. While there were a large number of tools suggested, ultimately, there was a general consensus that there is a need for to understand the vulnerabilities and sources of resilience, and use tools to help do this.
Pg. 50/64: Summary of answers:
 The community responses suggested a number of ways in which innovative solutions could improve disaster response. While the majority of the responses were negative – “No” – with regard to technological solutions, suggestions were made for improved government response linking building the capacity of CSOs, improving the relations between governments and humanitarian agencies, and improving transparency.
Pg. 50/64: Q5: In your community, are there innovative solutions to improve disaster response so that it can better address the needs of vulnerable groups such as women, children, the elderly and persons with disabilities (PWDs)? If yes, what are they?
 Summary of answers:
 This question was somewhat inconclusive in that it did not provide substantial feedback, as most did not respond to this question. Of those that responded, the three points which were made were relatively standard responses I.e.: providing women with sanitary kits, collecting data on vulnerable groups prior to a disaster and providing special facilities for persons with disabilities.
 Community volunteers and household leaders to be trained to provide assistance to vulnerable populations
Pg. 51/64: The CSO responses based on the experiences in improving disaster response were numerous and encompassed diverse issues. The recommendations put forth were in relation to: organizing response teams within communities, engaging affected communities in disaster response, empowering women at grassroots level to cope with natural disasters and climate change, and improving drought adaptation capacities. On a whole the technologies proposed were ones which are readily available and for the most part available. Here are some of the examples which were given: adopting eco-friendly technologies in constructing transitional shelters; obtaining insurance for assets and goods; using group SMS for emergency communication/coordination for both communities as well as the relief workers on the ground and using real-time group chatting for information sharing and providing resources to those who are connected.
Pg. 51/64: The most common suggestion in terms of innovative solutions was improved use of information and communication technologies, including the use of mobile phones and social media. Several respondents also suggested more frequent partnerships with the private sector to increase response capacity as well as to introduce creative ideas through which to improve current mechanisms. The use of cash-based systems, drones, open source and web-based GIS were also mentioned.
Pg. 52/64: Summary of answers:
 The HCTs suggested a number of ways in which innovative solutions could improve disaster response. With regard to technological solutions, several respondents suggested using emerging mobile phone technologies for early warning message dissemination and cash transfers. Others hoped technological advances could provide a solution for storing information on international and national humanitarian assistance provision and for mapping local capacities to respond.
 According to some, satellite remote sensing and real-time forecasting of hazards would improve preparedness and early decision-making. Increased use of social media, open source data and big data analysis were encouraged.
 Some HCTs discussed the different groups of affected populations and how innovative solutions could better address responding to each of their needs. For example, early warning systems could be tailored for disabled populations and children could be offered user-friendly online classes where appropriate.
 In terms of processes, one HCT called for greater flexibility in responding to different scales of emergencies and being able to selectively activate and use clusters in the early phases of a disaster as required. Another HCT saw advantages in engaging with external actors, such as
 Global Pulse, to use large data sets for strengthening risk reduction, as well as using open source applications, such as Open Street Map, for updating data and information related to high risk areas. In addition, increased South-South cooperation was identified as a potential area of improvement for better disaster response. Some argued that instead of needing new innovative products and processes, the focus should be on ensuring universal and accepted use of existing ones. In a more general level, the need for strengthened private-public partnership was called for. One respondent called for better needs assessment tools.
Pg. 43/64: What areas of innovation do you believe have the most potential to improve the disaster response of various actors, including your university/research centre? Select up to three of the below.
(See figures at link)
Pg. 45/64: When there is a disaster, what is the main way your organisation shares information with local civil society and/or affected communities on the response? / When there is a disaster, what is the main way you share information with other community members and agencies involved in disaster response? Select up to three of the below.
(See pie charts and figures at link)
Pg. 45/64: When there is a disaster, what is the main way your CSO shares information with actors within the formal humanitarian system (such as Government, UN agencies and INGOs) in order to coordinate a response?
(See pie charts and figures at link)
"	Damage & Need Assessment	Imagery (UAV/Satellite)	Damage & Need Assessment	Social Media	Communication	Mobile																												x													
"2 Stakeholders Consultation Report- West & Central Africa, May 2014.pdf"	"Pg. 2/16: The need for innovation was also discussed. Participants highlighted several examples of innovative solutions already in place: the Strategic Response Plan for the Sahel (2014-2016) as an example of multiyear initiatives; the programme ‘Cities and climate change’; ECOWAS humanitarian policy and ECOWARN; cash transfers; use of social media and mobile phones in communicating with communities; distribution of locally-produced enriched flour; and cooperation with private sector organizations (such as in response to the 2012 floods in Nigeria).
Pg. 2/16: Cash transfers were recognised as a way to support the local economy and empower people to make their own choices about what they and their families needed in these cases, as a way to support economic and social development and alleviate the baseline of poverty and vulnerability in many areas affected by crisis.
Pg. 12/16: The three winners
 REGIONAL
 Kit for Autonomous Cash Transfer in Humanitarian Emergencies – KACHE
 Organizations involved: Action Against Hunger (ACF), funded by the UN World Food Program (WFP), through its Cooperating Partner Innovation Fund (CPIF).
 The use of e-transfers in humanitarian response is often limited by a lack of e-payment infrastructure in many affected areas. The Project aims to address this by developing a Kit for Autonomous Cash Transfer in Humanitarian Emergencies - KACHE. The kit includes a small number of “terminals”, which run on long-lasting batteries and do not need to be connected to a telecommunication network. They can be deployed at selected locations offering goods and/or services (shops, market stalls, health centers, etc...), matched with a large number of smart cards that can be easily configured at the beginning of the response with beneficiaries’ personal data, amount of cash to be transferred, etc. The system is mobile and can be deployed in any given operation where cash transfer can be a viable response option and can be used “offline” in remote contexts, based
 on a “closed-circuit branchless structure”.
Pg. 12/16: CHAD
 Creation of a Unit in Charge of Bilharzia
 Organizations involved: Reach for Change, the Canton and the Health Centre of Torrock, Etablissements GouinPala
 Institutions, Pharmaceutical Plant, Tigo-Chad, and
 KoudoriGuizine Enterprise.
 In the Torrock area, children suffer from urinary problems caused by Bilharzia. Over 60 per cent of children 1-14 years old carry Bilharzia eggs. The population is poorly informed about the disease, and children are left largely untreated.
 The project aims at creating a mobile screening unit in the
 Torrock area. Parents wishing to test their children only have to send a message to a special hotline to make an appointment. Samples of the disease are taken at the child’s home and test results are communicated via SMS.
 Families of children tested positive for the ailment pay for their prescription drugs via cell phone through Tigo Cash.
 Drugs are delivered directly to childrens’ home.
 In one year, 750 children were tested at their homes, and
 60 per cent were treated. The project could be expanded to other districts and regions throughout Chad.
Pg. 12/16: BENIN
 Preparing Communities Affected by Recurrent Flooding with Clean Drinking
 Water Solutions
 Organizations involved: Care International Benin/Togo, DayOne Response, Inc., Procter and Gamble
 Children’s Safe Drinking Water Program
 Northern Benin faces recurrent annual flooding, which resulted in a high vulnerability of the population due to the consumption of muddy and contaminated drinking water from the Niger River during recent emergencies. The project will empower individuals with tools to convert highly turbid water into clean drinking water and promote water and hygiene education. The DayOne Waterbag, coupled with P&G
 Purifier of Water packets, provides all the essential functions of municipal water supply in a personal backpack: water collection, transport, treatment and hygienic storage. The bags will be distributed to affected communities in Benin and the project evaluated to determine its effectiveness as a tool to support post-crisis water needs.
Pg. 13/16: Innovation
 When asked to give three examples of innovative tools or solutions to humanitarian problems in West and
 Central Africa, one third of people did not respond.
 Those who did named the following as examples of successful innovation, which can be categorized thus:
[SEE TABLE 3]
Pg. 2/16: They also encouraged organizations to support and strengthen mechanisms for knowledge transfer and to share lessons learned across emergencies. Participants discussed various aspects of innovation, pointing out that it is not just about technology but about social changes and leveraging knowledge of the local culture and landscape on order to avoid ‘importing’ ideas which may not fit the real local needs. They referenced the example of using radio communication in displaced people’s native languages to increase understanding of the services available across borders (Niger and Nigeria one example, Ghana and Côte d’Ivoire another)."	Online Cash	Mobile	Communication	Mobile	Water	Purifiers/Filters																x										x	x														
